N,P,K,pH,temperature,humidity,rainfall,label,yield_kg_per_ha
40.87,67.57,32.78,6.81,23.22,68.54,143.5,blackgram,1125.69
92.64,15.04,58.42,6.75,28.9,61.4,68.97,muskmelon,18265.09
137.4,43.51,17.8,6.66,36.73,72.52,93.42,cotton,2564.33
95.1,17.13,58.08,6.47,33.83,70.74,39.27,muskmelon,18065.97
94.29,45.3,52.21,5.81,33.33,93.59,164.97,rice,5053.35
15.24,60.0,22.53,7.37,22.31,37.05,75.04,lentil,1574.04
35.81,35.27,36.39,7.18,36.51,59.22,154.8,mango,12862.96
96.91,28.57,58.43,6.98,31.56,63.87,86.0,watermelon,31035.7
15.13,68.2,20.89,6.59,21.81,58.03,169.41,kidneybeans,1633.05
103.98,18.86,47.01,7.47,28.05,65.35,63.09,muskmelon,17144.31
26.82,64.31,34.61,7.88,19.6,48.72,44.57,lentil,1547.0
3.05,6.77,38.9,5.77,32.61,94.65,110.27,coconut,12600.17
115.39,53.61,42.04,6.43,12.62,59.1,99.63,wheat,4097.49
34.26,59.5,85.63,7.2,17.66,40.35,54.74,chickpea,1272.79
54.82,58.65,64.19,6.04,28.83,73.87,272.45,papaya,43373.06
18.33,17.69,18.08,7.36,13.44,77.85,144.14,orange,18931.16
4.18,128.98,203.57,5.53,22.49,67.34,149.23,apple,16971.28
5.64,136.01,202.06,5.9,18.53,70.03,168.03,apple,19049.65
136.99,46.67,17.49,7.26,29.22,40.61,195.79,cotton,2723.91
11.72,13.77,11.04,6.6,24.46,74.69,138.4,orange,22705.23
15.52,0.52,35.07,5.55,27.06,76.72,240.13,coconut,11589.63
119.47,32.38,32.6,6.11,19.32,78.13,282.13,coffee,1236.46
38.8,62.39,87.68,6.07,24.51,42.65,98.37,chickpea,1360.33
23.69,53.2,29.67,7.57,12.86,47.2,67.43,lentil,1552.72
71.04,64.64,40.48,6.16,28.44,94.69,218.69,jute,3037.16
19.89,0.83,37.94,5.66,33.78,94.03,107.34,coconut,11430.51
72.99,52.92,53.35,7.91,29.95,85.97,185.54,jute,3299.22
23.29,60.72,34.87,3.66,30.76,39.34,45.3,mothbeans,908.28
76.96,57.5,40.07,7.03,36.28,79.95,340.9,jute,3109.58
135.08,46.13,27.01,6.66,24.4,52.38,185.57,cotton,2679.09
102.06,18.7,61.92,6.72,31.29,65.31,59.64,muskmelon,18535.29
95.57,17.25,48.37,6.79,38.32,61.36,46.96,watermelon,30814.57
12.71,124.13,207.68,6.61,17.02,50.44,183.64,apple,16789.67
40.18,64.05,89.7,6.28,21.16,41.83,93.03,chickpea,1429.45
118.21,22.88,48.29,6.02,34.88,76.65,31.66,watermelon,31057.68
56.75,64.99,47.5,6.6,30.92,85.79,291.22,papaya,42191.63
108.93,60.26,228.46,5.7,34.61,76.42,147.61,banana,32162.07
86.33,60.36,45.08,7.93,33.26,72.98,242.1,jute,2878.46
42.96,74.43,89.41,7.9,19.1,20.74,53.06,chickpea,1336.36
29.58,26.05,38.88,6.97,25.05,60.2,74.5,mango,13141.68
105.37,30.07,33.6,7.18,16.24,79.88,271.27,coffee,1436.51
123.6,48.26,29.9,6.55,39.56,66.72,179.76,cotton,2716.71
105.73,23.57,60.08,6.4,35.92,57.4,46.33,watermelon,32789.5
4.15,7.48,8.66,6.91,19.11,69.22,161.78,orange,20448.5
93.29,21.92,51.91,6.1,32.01,74.61,65.9,muskmelon,18105.55
11.66,15.86,19.16,7.09,20.26,70.83,91.75,orange,21768.24
100.76,35.24,37.07,6.08,21.06,88.99,285.61,coffee,1440.27
41.85,62.99,47.96,6.86,28.11,78.6,249.02,papaya,45371.75
23.94,73.12,21.45,6.99,28.0,51.58,106.42,pigeonpeas,1332.87
16.76,73.22,28.07,6.8,34.16,45.42,88.55,pigeonpeas,1347.21
110.96,50.66,40.59,6.29,15.68,49.63,83.9,wheat,3838.98
115.47,42.38,50.03,6.0,36.17,58.31,119.42,pomegranate,15969.34
30.59,28.12,33.89,7.39,26.24,52.96,112.16,mango,12976.28
109.76,52.33,57.15,7.27,30.46,44.95,123.6,pomegranate,17578.76
32.27,71.33,79.64,7.14,15.58,42.66,96.69,chickpea,1363.94
2.63,6.83,8.37,6.36,26.36,68.97,92.62,orange,19988.62
0.08,141.75,196.97,6.91,13.59,50.05,194.49,apple,15640.01
15.07,56.43,26.77,7.86,14.96,45.25,53.99,lentil,1620.29
44.87,67.38,27.52,6.91,27.23,51.42,90.76,blackgram,1069.18
99.93,21.21,54.02,5.88,30.26,55.72,67.62,watermelon,33637.34
98.56,58.85,54.68,5.82,32.89,82.56,277.76,rice,5017.42
25.66,60.59,31.23,4.44,31.19,27.96,54.77,mothbeans,904.47
27.95,61.41,31.07,6.42,28.85,53.94,147.2,mungbean,1082.08
95.02,27.0,29.74,6.16,21.28,77.46,167.17,coffee,1365.39
117.05,17.6,50.47,6.84,35.26,67.03,50.2,watermelon,30636.59
41.78,60.29,85.3,7.47,16.43,34.87,76.07,chickpea,1405.93
32.47,51.74,47.44,5.92,21.59,61.69,104.91,grapes,15699.91
130.81,65.98,47.05,7.29,11.47,46.9,91.42,wheat,4109.25
85.81,64.93,20.6,6.69,29.05,67.04,95.79,maize,5965.95
94.13,15.23,57.22,6.54,35.57,67.23,89.12,watermelon,30995.36
16.52,66.55,22.52,7.04,31.83,40.08,110.91,mungbean,1080.23
108.41,16.73,64.49,6.26,28.92,67.02,35.09,muskmelon,17201.34
23.91,64.42,24.2,6.44,24.94,54.83,134.29,kidneybeans,1889.88
107.02,37.82,44.79,7.2,17.63,77.78,287.36,coffee,1237.88
11.88,19.08,14.22,6.9,10.26,76.39,85.15,orange,21809.1
105.92,43.51,43.45,5.76,36.71,50.05,75.48,pomegranate,16963.33
105.3,47.82,49.91,7.46,30.88,51.99,98.2,pomegranate,18368.07
18.72,9.59,36.83,5.84,31.21,71.15,196.52,coconut,12073.97
20.09,62.45,33.02,6.62,30.98,57.5,98.32,mungbean,1120.85
23.68,66.97,34.36,7.22,15.01,36.85,71.98,lentil,1632.27
23.6,60.17,34.78,6.46,17.17,50.2,62.79,lentil,1597.06
99.99,70.48,60.17,5.78,34.11,81.31,178.78,banana,38393.34
102.43,18.06,61.0,6.18,38.93,75.48,44.43,muskmelon,18758.65
23.51,60.94,23.07,7.08,25.54,58.83,89.44,mungbean,1162.46
117.65,48.1,36.3,7.0,29.35,73.01,117.11,maize,6065.05
100.56,12.89,54.91,6.06,35.29,65.71,83.35,muskmelon,18643.12
23.07,66.61,33.85,6.2,14.92,42.84,37.78,lentil,1602.01
116.02,63.4,53.42,7.32,37.29,37.8,101.5,pomegranate,17387.64
94.66,46.55,47.59,6.53,24.45,93.98,287.45,rice,5401.5
26.57,68.1,33.04,6.46,30.06,40.78,142.13,mungbean,1114.55
26.02,54.14,27.37,5.85,31.18,39.98,40.34,mothbeans,977.85
32.13,22.62,40.8,6.41,31.75,64.82,116.99,mango,12603.11
111.18,67.11,42.8,6.8,24.65,44.66,80.14,wheat,4022.15
25.62,62.45,29.48,6.53,22.54,46.18,63.5,lentil,1705.02
38.15,71.6,79.86,6.76,28.27,39.32,66.84,chickpea,1466.95
112.73,76.98,130.58,6.17,34.57,85.06,298.61,banana,35067.63
15.97,124.83,204.16,5.82,2.8,65.41,198.75,apple,17866.21
11.77,7.26,46.86,5.89,27.85,64.14,133.08,coconut,11846.94
109.53,26.72,46.73,6.72,33.62,70.18,71.22,watermelon,29375.31
27.38,68.11,31.54,6.54,26.05,54.51,120.21,kidneybeans,1664.6
19.61,56.31,22.5,6.11,26.91,57.86,108.92,kidneybeans,1685.26
137.03,43.58,21.8,7.77,25.68,50.95,179.7,cotton,2668.06
18.23,64.81,18.22,7.2,28.32,49.6,130.63,mungbean,1078.27
105.44,59.76,24.83,7.23,22.76,69.4,75.69,maize,6476.32
38.97,77.7,84.23,6.1,28.26,40.67,68.27,chickpea,1358.42
118.41,52.5,54.88,6.25,39.82,54.9,58.14,pomegranate,18870.44
133.98,68.58,40.1,6.21,19.95,52.9,102.32,wheat,3940.36
33.59,69.47,20.83,7.33,27.9,62.7,189.83,blackgram,1077.96
27.12,72.33,25.28,7.1,31.83,50.69,128.79,pigeonpeas,1339.46
7.81,1.09,42.86,7.09,34.8,68.82,229.4,coconut,12185.23
112.08,46.44,47.81,7.44,26.14,37.93,133.18,pomegranate,17004.57
98.36,51.37,42.8,5.67,30.03,84.42,234.79,rice,5189.33
23.62,60.21,29.03,6.17,23.83,41.7,33.48,lentil,1729.81
9.66,0.75,49.2,7.39,30.23,66.85,113.1,coconut,12285.37
7.46,125.41,199.25,6.1,13.53,73.95,108.64,apple,18172.53
0.12,148.62,208.04,6.47,10.98,54.66,155.36,apple,14120.1
100.18,47.85,23.47,7.54,34.35,48.64,162.61,cotton,2823.92
18.43,62.83,26.28,6.52,36.6,62.75,188.13,pigeonpeas,1296.27
19.43,69.48,20.48,6.84,16.21,67.27,149.78,kidneybeans,1720.99
16.09,52.06,34.44,6.49,24.57,48.62,38.03,lentil,1468.13
106.39,62.79,69.33,6.49,28.85,54.79,68.83,pomegranate,17134.72
21.35,71.25,28.44,6.87,25.32,56.79,73.16,mungbean,1136.15
99.15,54.96,63.98,7.37,30.28,54.75,66.53,pomegranate,17917.45
43.55,64.89,75.8,6.06,27.69,20.81,82.5,chickpea,1392.79
17.68,65.69,29.97,7.12,24.04,40.74,35.72,lentil,1625.01
23.74,61.67,24.75,6.59,19.52,61.57,171.05,kidneybeans,1979.16
108.85,29.91,52.35,6.05,28.52,70.43,41.39,watermelon,31780.34
29.48,35.79,39.32,7.23,32.45,73.1,199.64,mango,13557.62
24.4,64.37,32.92,6.28,34.8,40.67,78.73,mungbean,1143.47
20.83,60.75,33.82,7.08,39.73,67.75,107.63,pigeonpeas,1216.72
28.97,64.43,22.54,7.19,29.23,47.43,63.15,mungbean,1114.16
19.24,137.01,209.25,6.76,21.66,76.05,138.62,apple,16048.05
128.9,68.3,51.01,6.59,17.26,59.48,79.26,wheat,3971.89
37.54,75.26,84.39,7.89,21.41,37.7,76.57,chickpea,1330.81
137.7,48.01,22.29,7.56,32.73,53.07,101.53,cotton,2486.54
110.59,44.58,62.19,6.95,36.13,43.62,112.88,pomegranate,17648.81
30.56,66.53,74.43,7.19,15.39,20.88,80.9,chickpea,1337.96
118.21,48.48,49.94,7.4,37.61,42.92,83.6,pomegranate,16118.29
100.52,24.92,25.38,6.14,24.36,77.01,260.16,coffee,1276.16
18.58,54.55,27.91,5.9,34.03,31.1,72.26,mothbeans,934.12
49.65,57.84,31.75,6.85,33.45,55.85,108.5,blackgram,1053.49
16.58,45.39,46.06,5.58,25.15,62.99,191.8,grapes,17016.82
107.82,12.55,52.03,6.17,34.61,60.07,89.52,muskmelon,18013.64
18.22,50.58,20.62,6.67,19.03,37.62,53.45,lentil,1534.3
111.68,25.0,33.88,7.21,23.93,77.59,205.45,coffee,1249.58
3.82,1.36,41.71,7.11,29.0,84.6,234.31,coconut,11939.78
33.62,63.2,79.6,7.15,27.55,39.23,77.33,chickpea,1364.58
7.86,16.02,13.25,6.57,20.65,65.18,162.84,orange,24828.52
19.05,58.32,24.67,5.79,22.15,52.03,126.99,kidneybeans,1833.65
17.28,135.32,200.78,6.92,1.78,64.95,148.69,apple,17867.12
108.98,16.94,46.21,6.41,39.08,71.66,43.99,muskmelon,16891.53
100.47,50.57,36.31,7.09,30.87,74.96,126.99,maize,6537.09
86.49,34.01,33.35,6.28,27.14,87.33,259.07,coffee,1321.94
15.47,51.14,31.31,6.01,18.1,37.15,55.5,lentil,1464.39
97.61,29.33,41.69,6.23,15.66,65.15,224.25,coffee,1334.69
61.55,45.3,53.48,6.24,29.05,70.31,167.36,jute,2998.26
112.29,10.68,57.09,6.73,27.34,66.16,30.43,watermelon,30845.76
54.19,63.43,60.7,6.06,32.66,82.27,196.95,papaya,44628.85
29.47,58.51,18.36,7.08,20.79,44.12,75.69,lentil,1549.71
20.43,48.71,27.69,6.7,27.48,35.16,73.09,mothbeans,925.03
100.25,62.22,35.85,6.5,22.9,54.5,182.97,maize,6171.95
83.16,52.23,21.51,6.86,31.44,71.25,197.38,maize,6192.28
101.79,36.94,30.4,6.85,27.68,72.84,215.42,coffee,1280.42
94.75,10.02,57.13,6.49,36.04,73.8,23.13,muskmelon,16870.66
131.9,67.39,48.97,7.01,17.88,56.32,141.91,wheat,4028.88
103.82,12.51,62.38,6.19,33.82,62.11,75.84,muskmelon,18129.55
86.59,47.2,30.2,7.17,20.92,65.3,165.47,maize,6330.93
129.85,54.17,44.97,6.88,10.04,61.4,111.0,wheat,4153.42
26.26,56.34,29.54,6.82,33.82,43.68,131.48,mungbean,1127.6
90.17,58.38,49.09,6.41,34.77,82.23,271.97,rice,5128.37
18.0,18.13,15.23,7.37,14.68,83.13,89.2,orange,20367.38
25.42,29.69,36.16,7.31,28.98,56.88,188.55,mango,13585.89
32.56,57.25,28.63,6.16,34.48,55.58,73.35,blackgram,1019.71
19.03,57.79,29.74,4.55,24.96,34.79,34.64,mothbeans,929.95
0.4,8.31,41.17,7.0,30.32,65.55,152.93,coconut,12009.78
98.63,18.74,48.55,7.21,36.05,60.42,36.6,muskmelon,18863.9
40.31,67.21,55.53,6.85,31.18,75.02,204.47,papaya,44422.81
76.63,51.64,51.28,7.3,24.04,91.19,161.55,jute,3281.11
24.19,55.37,32.32,4.51,30.1,44.01,46.63,mothbeans,925.26
35.76,75.3,87.14,6.53,28.54,41.22,59.71,chickpea,1318.4
129.96,47.79,20.3,6.0,29.76,53.75,79.42,cotton,2673.6
113.12,51.91,30.18,6.94,22.48,71.36,62.91,maize,6805.97
117.74,42.54,55.92,6.32,28.15,92.98,295.77,rice,4894.35
20.68,65.52,34.05,7.85,14.22,36.21,69.71,lentil,1583.92
16.59,19.19,12.02,7.2,11.71,77.96,189.99,orange,21782.7
107.78,24.46,50.24,6.49,28.29,67.45,67.26,muskmelon,18540.4
8.87,3.23,49.48,7.5,34.81,87.92,181.46,coconut,12568.51
88.11,45.28,39.56,6.37,21.09,58.29,115.63,maize,5786.46
38.02,30.93,31.35,6.19,32.17,54.99,169.83,mango,10927.76
99.3,63.1,30.9,6.33,34.82,51.63,190.5,maize,6571.2
11.86,2.52,33.15,6.43,29.31,73.24,226.61,coconut,11931.28
36.98,27.64,45.87,5.94,25.07,52.4,187.41,mango,11475.06
23.65,55.67,23.59,7.14,17.5,38.21,56.63,lentil,1674.32
72.73,52.28,47.75,7.69,34.67,86.58,287.82,jute,3302.23
3.35,8.01,47.53,5.84,32.01,60.98,228.38,coconut,11912.9
97.42,24.82,63.56,6.07,39.75,75.84,20.19,muskmelon,16334.71
39.8,66.26,21.8,6.54,31.13,50.78,161.05,blackgram,1160.05
13.38,13.21,17.22,6.68,24.64,70.43,195.42,orange,23277.88
18.07,67.2,31.81,7.06,23.01,48.42,28.48,lentil,1485.17
17.52,123.46,195.26,6.06,9.77,73.2,100.86,apple,15396.86
110.69,54.44,37.28,6.99,21.71,59.02,81.63,wheat,3882.2
44.04,79.76,84.46,6.68,24.02,21.99,45.52,chickpea,1288.55
23.2,61.5,30.93,6.52,33.29,42.93,129.25,mungbean,1135.19
105.13,68.61,45.11,7.23,19.81,57.75,121.61,wheat,3960.36
106.57,18.42,46.02,6.95,32.84,78.18,86.56,watermelon,31589.79
12.24,122.54,196.86,6.96,4.45,76.87,127.58,apple,16597.38
3.27,5.11,47.25,6.29,32.08,86.17,264.94,coconut,12526.14
21.05,67.97,27.34,6.81,15.2,65.48,102.27,kidneybeans,1886.9
18.16,19.99,13.98,7.02,16.8,65.21,164.39,orange,20470.22
19.74,61.47,24.65,7.66,20.87,39.27,52.33,lentil,1679.19
43.63,58.92,60.39,6.87,26.48,76.57,241.11,papaya,44894.67
23.46,63.47,22.75,5.57,27.54,69.67,199.8,pigeonpeas,1334.53
42.26,62.43,22.24,6.75,23.74,63.44,131.11,blackgram,1091.48
72.93,45.49,51.82,6.33,31.12,74.73,287.58,jute,3264.78
104.03,51.37,29.58,6.98,24.3,43.09,66.36,cotton,2426.05
24.2,50.15,39.1,6.48,20.99,63.94,71.05,grapes,18743.18
47.8,71.65,21.39,7.02,33.02,68.6,146.69,blackgram,1051.46
118.73,15.25,51.95,6.14,35.41,60.53,54.73,muskmelon,17272.15
105.01,27.2,30.26,6.89,24.62,77.38,284.33,coffee,1349.31
27.95,70.68,29.36,6.5,22.95,60.5,146.39,kidneybeans,1707.75
41.11,51.18,49.02,6.12,28.95,72.01,234.17,papaya,42141.78
52.63,56.78,59.54,6.18,25.01,72.17,216.06,papaya,48615.26
20.59,70.26,21.2,5.81,26.13,65.49,139.98,pigeonpeas,1403.94
101.82,55.98,43.38,6.9,39.54,38.27,62.97,pomegranate,18021.89
48.74,50.87,48.2,6.1,27.14,85.88,235.59,papaya,44341.04
24.45,52.0,46.25,6.53,21.54,65.54,193.95,grapes,16870.64
4.02,1.6,32.72,6.07,35.23,60.97,220.49,coconut,11083.05
21.2,78.06,22.91,5.81,29.65,63.98,181.08,pigeonpeas,1370.48
37.63,55.68,70.54,7.11,29.8,44.49,53.61,chickpea,1321.4
24.52,61.6,27.24,7.18,23.16,47.22,31.75,lentil,1709.91
117.95,56.12,46.44,6.9,35.51,36.64,108.96,pomegranate,17437.75
131.45,50.62,27.83,6.48,37.28,45.92,168.07,cotton,2489.65
3.24,3.35,47.81,5.77,32.9,91.42,102.83,coconut,11816.43
23.04,60.3,26.49,6.75,34.88,53.3,128.62,pigeonpeas,1382.83
24.72,32.01,46.8,6.81,24.61,62.86,155.93,mango,12122.17
30.17,57.37,71.97,7.22,22.89,31.39,78.43,chickpea,1212.47
15.83,9.29,35.25,5.51,33.09,85.65,152.17,coconut,11388.72
96.34,60.27,26.81,7.25,22.65,53.94,102.91,maize,6534.77
116.93,44.92,54.6,6.63,21.47,84.36,180.08,rice,4861.81
17.3,50.71,28.69,4.14,27.33,34.34,41.41,mothbeans,948.52
42.48,57.82,19.46,6.11,29.88,66.09,103.66,blackgram,1050.55
41.25,56.36,76.41,7.26,28.69,28.94,90.2,chickpea,1338.35
104.94,48.94,25.52,6.51,23.0,58.59,123.39,maize,6528.59
4.87,123.25,195.05,6.66,11.42,54.86,108.22,apple,15542.8
25.43,65.66,28.24,6.63,25.84,58.58,89.63,mungbean,1181.43
88.58,51.25,55.11,5.89,32.4,93.55,239.61,rice,5154.72
19.79,121.25,201.56,6.66,20.58,52.49,160.66,apple,16205.32
91.29,25.04,55.98,7.17,33.24,55.05,87.04,watermelon,31901.65
111.14,48.76,26.97,7.26,23.12,55.18,129.16,cotton,2753.23
4.96,143.88,209.84,5.82,24.25,58.05,141.28,apple,15909.0
89.11,45.92,37.17,5.99,24.14,67.87,82.22,maize,6174.13
32.01,68.05,81.99,6.5,24.18,42.49,30.07,chickpea,1333.79
24.36,72.48,20.11,6.9,29.2,57.98,193.89,pigeonpeas,1297.77
91.34,60.03,148.59,5.97,29.34,75.23,180.36,banana,36753.42
108.28,20.17,47.29,6.25,35.65,72.51,77.22,muskmelon,17796.86
106.14,48.98,28.78,5.86,30.86,53.93,168.96,maize,6547.56
7.37,12.52,19.88,6.66,16.78,88.38,159.38,orange,21662.19
112.34,39.11,19.99,7.61,24.05,49.64,134.62,cotton,2652.0
11.18,6.35,48.07,7.41,29.35,67.37,236.75,coconut,12173.11
22.76,32.52,45.89,6.18,30.85,63.81,136.35,mango,12422.04
19.21,144.25,204.95,6.11,10.51,78.52,106.9,apple,16323.63
100.13,19.31,64.06,6.34,33.59,78.39,48.51,watermelon,31055.37
53.83,66.54,62.49,6.16,27.17,73.75,216.83,papaya,44091.01
94.34,62.73,232.74,6.6,25.66,93.11,134.09,banana,35529.21
21.22,60.98,21.39,7.03,25.95,58.04,62.42,mungbean,1126.93
119.36,68.45,66.41,7.27,32.67,47.45,119.71,pomegranate,15215.94
63.94,62.75,56.32,7.31,27.03,94.07,320.63,jute,2878.69
89.1,61.07,32.43,6.63,23.42,73.24,106.36,maize,6123.59
90.4,20.68,26.97,6.16,18.89,89.01,243.1,coffee,1206.63
114.5,13.94,57.43,7.06,32.44,69.75,45.12,muskmelon,18416.04
119.86,38.96,27.5,6.68,27.82,78.71,224.56,coffee,1107.21
84.67,63.16,32.03,7.03,18.91,62.65,147.17,maize,6056.61
42.24,69.59,60.09,6.68,34.04,78.13,209.9,papaya,41639.76
18.34,9.23,16.86,6.48,20.79,82.48,100.92,orange,20388.96
24.81,56.26,24.76,6.18,24.01,37.57,52.74,lentil,1679.74
106.76,15.4,57.85,6.68,30.51,67.89,40.04,muskmelon,19051.3
30.28,51.96,31.16,6.39,8.95,59.24,166.74,grapes,15560.1
48.08,68.23,23.16,7.5,30.93,68.17,70.73,blackgram,1051.52
78.69,61.63,58.49,6.16,24.61,79.07,312.02,jute,3138.4
0.38,137.9,205.13,6.14,11.98,72.26,189.49,apple,17420.57
24.71,66.78,33.03,6.63,37.79,61.75,103.95,pigeonpeas,1375.43
54.11,55.41,53.51,6.89,26.86,70.06,236.72,papaya,47648.45
34.32,73.46,87.11,7.8,20.85,27.99,99.99,chickpea,1309.44
116.61,47.58,23.08,6.94,27.89,55.03,166.44,maize,6109.27
27.33,66.02,21.56,7.46,29.8,61.78,156.51,pigeonpeas,1295.85
110.58,68.6,185.23,6.42,28.37,85.67,140.88,banana,37379.06
107.42,47.85,64.16,6.67,39.25,54.25,124.57,pomegranate,18098.51
29.45,71.17,23.0,6.78,26.2,55.08,73.83,mungbean,1088.39
98.02,78.64,215.35,6.34,30.77,92.74,272.61,banana,33872.97
35.46,57.51,20.53,7.4,30.89,51.01,197.95,blackgram,1064.55
19.52,59.32,31.28,6.97,15.48,36.75,71.35,lentil,1657.69
23.53,57.9,31.58,6.69,30.66,56.82,76.66,mungbean,1098.0
17.45,62.0,25.99,3.95,25.3,35.01,47.68,mothbeans,937.29
34.46,72.15,85.62,6.68,29.18,20.77,39.31,chickpea,1343.83
114.15,37.37,32.54,6.62,26.16,89.96,157.89,coffee,1180.35
44.25,55.27,30.96,6.98,25.57,63.78,87.02,blackgram,1080.31
85.85,63.63,41.92,6.34,32.67,89.35,248.27,jute,2885.86
7.27,16.98,5.02,7.03,13.67,82.36,132.55,orange,21024.15
138.42,47.69,15.96,7.85,27.29,72.46,61.89,cotton,2572.25
95.01,34.35,37.41,6.5,15.64,65.67,223.13,coffee,1343.84
47.13,62.78,82.61,7.25,27.59,38.5,88.84,chickpea,1341.02
96.09,44.47,28.28,7.07,33.45,64.84,101.91,maize,6446.36
47.34,63.07,34.02,7.32,27.47,57.32,157.96,blackgram,1051.29
14.95,1.32,37.22,7.18,32.48,64.79,292.33,coconut,11329.13
36.84,38.21,33.82,6.93,35.36,71.37,129.64,mango,11021.8
8.67,4.24,33.07,5.88,32.0,78.46,207.57,coconut,12126.24
19.52,56.5,33.87,4.52,29.64,41.14,64.59,mothbeans,911.97
16.86,9.89,47.0,6.49,35.7,84.73,122.7,coconut,11631.88
28.52,51.19,31.73,6.05,13.25,78.95,155.55,grapes,15980.71
111.34,10.39,49.73,6.43,38.67,78.31,38.97,muskmelon,17580.94
22.29,67.75,26.92,5.57,25.46,59.13,107.7,kidneybeans,1930.6
15.85,56.34,31.93,6.44,28.29,52.2,112.56,mungbean,1051.1
99.25,35.75,32.91,6.0,21.5,78.7,167.34,coffee,1364.26
24.99,74.79,25.21,6.67,39.81,51.12,142.35,pigeonpeas,1342.41
119.62,10.59,49.27,6.64,31.51,70.9,89.33,muskmelon,16863.4
113.23,32.6,26.35,6.09,23.92,83.89,196.56,coffee,1259.27
83.25,36.17,30.17,6.91,27.77,86.06,277.52,coffee,1197.83
29.24,64.84,30.67,6.42,26.37,54.83,120.64,mungbean,1109.59
15.36,6.34,47.84,6.97,32.19,64.18,260.75,coconut,11375.45
18.82,70.11,26.66,5.55,19.79,68.57,137.39,kidneybeans,1848.17
40.81,60.98,84.26,7.0,17.65,30.31,74.44,chickpea,1353.11
19.64,73.96,32.17,7.07,39.66,60.92,108.37,pigeonpeas,1259.17
117.42,36.38,39.66,6.66,21.39,71.62,272.53,coffee,1165.36
115.61,58.56,40.6,7.03,22.61,59.21,112.78,wheat,4202.66
90.92,65.89,196.33,5.93,25.48,92.48,217.79,banana,35623.53
4.39,19.43,14.65,6.43,26.1,74.94,96.9,orange,20113.22
28.81,64.27,21.89,6.58,25.53,40.23,30.65,mothbeans,840.0
78.8,50.04,48.04,7.45,27.15,72.29,292.23,jute,3241.23
104.77,53.38,15.57,6.7,31.55,59.94,141.53,cotton,2501.13
106.08,60.78,41.73,6.77,30.01,55.84,117.8,pomegranate,17889.76
103.75,25.67,31.44,6.53,27.08,86.66,229.13,coffee,1304.42
103.36,12.87,54.97,6.59,39.87,60.91,23.77,muskmelon,18198.93
16.42,50.54,47.36,6.3,16.28,62.92,152.26,grapes,17122.88
23.57,70.34,24.86,5.77,35.29,55.77,191.17,pigeonpeas,1433.55
89.97,46.69,31.05,5.98,24.69,66.39,177.04,maize,6565.38
16.56,4.46,45.53,7.46,30.57,71.22,108.59,coconut,11015.44
71.84,59.15,53.24,6.95,30.63,83.24,224.9,jute,3218.96
37.14,59.39,81.53,6.79,16.44,34.12,67.65,chickpea,1363.5
98.64,74.34,248.26,5.54,28.96,92.13,225.14,banana,36159.71
16.69,61.91,23.95,6.28,26.67,59.4,191.44,kidneybeans,1855.83
45.51,72.56,80.91,7.63,27.6,34.7,97.61,chickpea,1340.26
24.18,75.54,33.24,6.54,25.53,62.73,197.92,pigeonpeas,1317.8
117.99,59.15,37.54,6.54,32.15,54.57,69.57,maize,5879.93
20.76,63.0,28.88,6.61,25.56,67.52,172.13,kidneybeans,1953.79
15.37,56.86,22.53,6.73,21.32,58.49,166.22,kidneybeans,1635.66
109.81,34.02,44.95,6.13,24.87,69.87,226.65,coffee,1225.49
112.43,18.28,57.34,6.47,29.33,71.81,47.32,watermelon,31088.39
19.16,52.74,24.28,7.41,21.0,41.36,50.51,lentil,1711.18
53.43,56.41,49.66,6.6,33.33,94.17,160.23,papaya,45829.41
93.16,71.67,103.71,5.86,33.28,83.0,154.8,banana,36475.22
97.12,52.22,52.69,6.12,26.13,79.35,238.25,rice,5191.64
97.71,22.93,54.59,7.08,34.74,66.11,39.94,muskmelon,18464.17
20.67,66.99,29.07,6.88,30.75,57.34,82.39,mungbean,1172.17
24.35,49.51,46.97,5.68,9.86,70.68,138.33,grapes,18515.67
110.52,26.45,39.47,7.01,24.77,72.98,226.44,coffee,1286.15
20.33,31.96,45.65,6.8,34.24,49.65,196.32,mango,10632.79
89.51,79.13,122.65,6.23,28.75,77.74,170.52,banana,34744.39
17.67,7.15,44.18,7.24,28.71,84.5,168.69,coconut,11878.47
2.55,149.2,201.99,5.85,3.22,67.81,114.78,apple,16363.64
29.7,57.39,23.84,5.81,17.24,59.82,156.38,kidneybeans,1692.45
2.96,12.88,17.9,6.04,22.37,87.01,175.49,orange,22148.5
104.58,16.9,51.61,7.17,35.87,67.27,56.3,muskmelon,19771.71
0.63,133.87,204.36,6.67,8.9,77.58,184.02,apple,16458.14
13.27,5.98,49.65,6.4,28.05,80.94,173.39,coconut,12066.76
116.82,59.67,43.16,6.33,27.94,39.25,110.78,pomegranate,15987.07
17.25,43.71,47.15,6.56,11.38,72.66,153.44,grapes,16926.17
20.46,26.59,38.46,6.49,27.03,46.02,108.2,mango,11131.43
31.09,57.81,70.14,7.77,25.07,27.46,45.48,chickpea,1227.07
23.95,72.79,19.14,6.02,26.83,53.65,112.73,kidneybeans,1757.79
118.42,47.42,48.5,6.72,27.59,89.73,218.96,rice,4881.23
113.44,54.74,29.47,7.97,36.83,57.52,140.08,cotton,2484.13
107.42,23.17,49.47,7.16,30.71,60.65,65.49,muskmelon,18795.23
